big_west,small_west,capital_city,big_east,small_east
87,77,86,71,70
75,83,90,82,76
80,73,87,85,81
75,82,85,89,85
91,71,85,72,75
89,87,96,79,75
91,77,95,79,75
87,84,89,85,72
90,86,93,84,72
94,93,91,86,75
82,83,96,85,90
91,94,94,76,83
83,79,91,71,80
86,92,85,82,85
84,72,77,72,80
82,86,96,78,80
88,76,84,78,78
89,84,87,76,86
94,85,91,74,83
87,93,83,77,77
89,87,90,74,76
88,89,81,70,75
75,89,79,80,81
85,77,95,89,74
81,92,93,80,84
78,73,95,89,75
93,86,90,77,75
88,87,91,88,80
84,93,78,75,80
90,95,91,78,75
91,90,88,82,70
88,84,80,72,80
82,82,95,77,90
94,82,94,81,86
83,93,90,75,70
91,72,78,78,85
76,85,89,75,80
80,90,90,87,72
76,81,90,76,90
90,90,95,81,90
88,78,81,89,63
84,83,90,82,82
70,70,70,70,70